* Top 60,000 lemmas, with word forms for each lemma
* This word frequency data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete word frequency data from COCA, please see https://www.wordfrequency.info
* For instructions on using this file in Excel, see https://www.wordfrequency.info/freqTxtToExcel.pdf
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp
----- Before converting file to Excel, remove the first eight lines, with the first line being the one starting with "rank"

lemRank	lemma	PoS	lemFreq	wordFreq	word
1	the	a	50033612	50033323	the
1	the	a	50033612	287	ze
2	be	v	32394756	10093608	is
2	be	v	32394756	6848519	was
2	be	v	32394756	6303682	's
2	be	v	32394756	5047210	be
2	be	v	32394756	4983145	are
2	be	v	32394756	2378665	were
2	be	v	32394756	1957882	're
2	be	v	32394756	1874157	been
2	be	v	32394756	1716283	'm
2	be	v	32394756	711507	being
2	be	v	32394756	448411	am
2	be	v	32394756	9826	s
3	and	c	24778098	24778098	and
4	a	a	24225478	21166065	a
4	a	a	24225478	3059411	an
5	of	i	23159162	23159162	of
6	to	t	16770155	16257508	to
6	to	t	16770155	431893	na
6	to	t	16770155	80754	ta
7	in	i	15670692	15670692	in
8	I	p	14217601	14217601	i
9	you	p	12079413	12053228	you
9	you	p	12079413	25316	ya
9	you	p	12079413	440	
9	you	p	12079413	440	youse
9	you	p	12079413	429	yous
10	it	p	11042044	11042044	it
10	it	p	11042044	342	
11	have	v	10514314	5023456	have
11	have	v	10514314	2723573	had
11	have	v	10514314	2443889	has
11	have	v	10514314	1015706	've
11	have	v	10514314	784592	'd
11	have	v	10514314	318547	having
11	have	v	10514314	4804	hath
11	have	v	10514314	41	haveing
12	to	i	9232572	9232572	to
13	that	c	8319512	8319510	that
14	for	i	8194970	8194970	for
15	do	v	8186412	4501047	do
15	do	v	8186412	1889734	did
15	do	v	8186412	964997	does
15	do	v	8186412	461455	doing
15	do	v	8186412	356317	done
15	do	v	8186412	9657	doin
15	do	v	8186412	1655	doth
15	do	v	8186412	1548	don
16	he	p	6467470	6467470	he
16	he	p	6467470	195	
17	with	i	6442861	6442861	with
18	on	i	6080156	6080156	on
19	this	d	5541355	5541355	this
20	n't	x	5285354	5285354	n't
21	we	p	5180711	5180711	we
22	that	d	5002963	5002961	that
23	not	x	4655980	4655980	not
24	but	c	4523086	4523086	but
25	they	p	4503650	4503650	they
26	say	v	4096416	2039196	said
26	say	v	4096416	955726	say
26	say	v	4096416	837850	says
26	say	v	4096416	263644	saying
27	at	i	4024079	4024075	at
28	what	d	3807502	3807502	what
29	his	a	3718978	3718978	his
30	from	i	3711425	3711425	from
31	go	v	3546732	1235814	go
31	go	v	3546732	1218389	going
31	go	v	3546732	376951	went
31	go	v	3546732	354396	gon
31	go	v	3546732	181192	gone
31	go	v	3546732	169236	goes
31	go	v	3546732	10678	goin
31	go	v	3546732	76	gos
32	or	c	3420339	3420339	or
33	by	i	3372222	3372222	by
34	get	v	3347615	1743855	get
34	get	v	3347615	1059927	got
34	get	v	3347615	327522	getting
34	get	v	3347615	157871	gets
34	get	v	3347615	57871	gotten
34	get	v	3347615	569	gettin
35	she	p	3188078	3188077	she
36	my	a	3106939	3106939	my
37	can	v	3091046	2515641	can
37	can	v	3091046	575405	ca
38	as	c	2946119	2946119	as
39	know	v	2761628	2110629	know
39	know	v	2761628	278027	knew
39	know	v	2761628	174757	known
39	know	v	2761628	138180	knows
39	know	v	2761628	59778	knowing
39	know	v	2761628	257	knowed
40	if	c	2709809	2709806	if
41	me	p	2638743	2638743	me
42	your	a	2577505	2577505	your
43	all	d	2503556	2503556	all
44	who	p	2493429	2493429	who
44	who	p	2493429	126	
45	about	i	2427703	2427703	about
46	their	a	2417058	2417058	their
47	will	v	2372215	2154429	will
47	will	v	2372215	992384	'll
47	will	v	2372215	217786	wo
48	so	r	2369749	2369749	so
49	would	v	2349400	2349400	would
50	make	v	2290830	1023483	make
50	make	v	2290830	706697	made
50	make	v	2290830	297469	making
50	make	v	2290830	262880	makes
50	make	v	2290830	261	maketh
50	make	v	2290830	27	makeing
50	make	v	2290830	13	maked
51	just	r	2270900	2270900	just
52	up	r	2108756	2108756	up
53	think	v	2077762	1483944	think
53	think	v	2077762	390032	thought
53	think	v	2077762	135649	thinking
53	think	v	2077762	68137	thinks
54	time	n	2018725	1669431	time
54	time	n	2018725	349294	times
55	there	e	1980173	1980173	there
56	see	v	1958700	1255990	see
56	see	v	1958700	294139	seen
56	see	v	1958700	264260	saw
56	see	v	1958700	94126	seeing
56	see	v	1958700	50185	sees
57	her	a	1931189	1931186	her
58	as	i	1880190	1880190	as
59	out	r	1828593	1828593	out
60	one	m	1816593	1816593	one
61	come	v	1802158	912036	come
61	come	v	1802158	402931	came
61	come	v	1802158	262894	coming
61	come	v	1802158	219129	comes
61	come	v	1802158	4573	comin
61	come	v	1802158	582	cometh
61	come	v	1802158	13	comeing
62	people	n	1800205	1782910	people
62	people	n	1800205	17166	peoples
62	people	n	1800205	129	peo-ple
63	take	v	1768822	858510	take
63	take	v	1768822	347229	took
63	take	v	1768822	218805	taking
63	take	v	1768822	191544	taken
63	take	v	1768822	151261	takes
63	take	v	1768822	1473	takin
64	year	n	1729962	1032285	years
64	year	n	1729962	697677	year
65	him	p	1717209	1717209	him
66	them	p	1701589	1691297	them
66	them	p	1701589	10284	em
66	them	p	1701589	8	thems
67	some	d	1684262	1684262	some
68	want	v	1671524	1081592	want
68	want	v	1671524	319671	wanted
68	want	v	1671524	164501	wants
68	want	v	1671524	78930	wan
68	want	v	1671524	26799	wanting
68	want	v	1671524	30	wans
69	how	r	1666469	1666469	how
70	when	c	1650353	1650353	when
71	which	d	1613281	1613281	which
72	now	r	1601991	1601991	now
73	like	i	1583444	1583444	like
74	other	j	1539952	1278825	other
74	other	j	1539952	261127	others
75	could	v	1529795	1529795	could
76	our	a	1467955	1467955	our
77	into	i	1461573	1461573	into
78	here	r	1413594	1413594	here
79	then	r	1344434	1344434	then
80	than	c	1342798	1342798	than
81	look	v	1338475	631460	look
81	look	v	1338475	303570	looking
81	look	v	1338475	228813	looked
81	look	v	1338475	174087	looks
81	look	v	1338475	545	lookin
82	way	n	1260011	1099245	way
82	way	n	1260011	160766	ways
83	more	r	1248955	1248955	more
84	these	d	1223310	1223310	these
85	no	a	1206112	1206112	no
86	thing	n	1202004	630338	things
86	thing	n	1202004	571666	thing
87	well	r	1189096	1189096	well
88	because	c	1167024	1167024	because
89	also	r	1142799	1142799	also
90	two	m	1139973	1139230	two
90	two	m	1139973	743	twos
91	use	v	1126042	438637	used
91	use	v	1126042	372427	use
91	use	v	1126042	267330	using
91	use	v	1126042	47648	uses
92	tell	v	1119692	529417	tell
92	tell	v	1119692	427203	told
92	tell	v	1119692	99297	telling
92	tell	v	1119692	63752	tells
92	tell	v	1119692	23	telled
93	good	j	1111721	1111721	good
94	first	m	1101803	1101803	first
95	man	n	1091176	741815	man
95	man	n	1091176	348491	men
95	man	n	1091176	870	mans
96	day	n	1068902	715593	day
96	day	n	1068902	353299	days
96	day	n	1068902	10	daies
97	find	v	1051936	511861	find
97	find	v	1051936	442025	found
97	find	v	1051936	60353	finding
97	find	v	1051936	37694	finds
98	give	v	1048189	462452	give
98	give	v	1048189	196336	given
98	give	v	1048189	188322	gave
98	give	v	1048189	113435	giving
98	give	v	1048189	87333	gives
98	give	v	1048189	299	giveth
98	give	v	1048189	12	gived
99	more	d	1037966	1037966	more
100	new	j	1017175	1000338	new
100	new	j	1017175	9148	newest
100	new	j	1017175	7689	newer
101	one	p	999446	999445	one
102	us	p	992207	992207	us
103	any	d	981535	981535	any
104	those	d	964458	964458	those
105	very	r	963552	963552	very
106	her	p	959780	959780	her
107	need	v	945498	640460	need
107	need	v	945498	163176	needed
107	need	v	945498	133052	needs
107	need	v	945498	8810	needing
108	back	r	938649	938649	back
109	there	r	932354	932354	there
110	should	v	920908	920908	should
111	even	r	920346	920346	even
112	only	r	905093	905093	only
113	many	d	903833	903830	many
114	really	r	895900	895900	really
115	work	v	854095	356692	work
115	work	v	854095	242183	working
115	work	v	854095	154898	worked
115	work	v	854095	98090	works
115	work	v	854095	2232	wrought
116	life	n	852257	719311	life
116	life	n	852257	132017	lives
116	life	n	852257	929	lifes
117	why	r	832911	832911	why
118	right	r	830729	830729	right
119	down	r	820294	820294	down
120	on	r	818739	818737	on
121	try	v	795248	327461	trying
121	try	v	795248	275985	try
121	try	v	795248	162174	tried
121	try	v	795248	26715	tries
121	try	v	795248	2859	tryin
121	try	v	795248	54	tryed
122	let	v	780929	747708	let
122	let	v	780929	33221	letting
123	something	p	779903	774329	something
123	something	p	779903	5386	somethin
123	something	p	779903	188	some-thing
124	too	r	771375	771375	too
125	call	v	768117	365320	called
125	call	v	768117	267297	call
125	call	v	768117	79129	calling
125	call	v	768117	56371	calls
126	woman	n	759817	442808	women
126	woman	n	759817	316749	woman
126	woman	n	759817	260	womans
127	may	v	757742	757742	may
128	still	r	757548	757548	still
129	through	i	752325	752325	through
130	mean	v	748840	471179	mean
130	mean	v	748840	161683	means
130	mean	v	748840	91547	meant
130	mean	v	748840	24428	meaning
131	after	i	745154	745154	after
132	never	r	744608	744608	never
133	no	u	743203	743203	no
134	world	n	732511	714815	world
134	world	n	732511	17696	worlds
135	in	r	726590	726590	in
136	feel	v	722826	382789	feel
136	feel	v	722826	208624	felt
136	feel	v	722826	65911	feeling
136	feel	v	722826	65502	feels
137	yeah	u	703928	703928	yeah
138	great	j	696589	551990	great
138	great	j	696589	89341	greater
138	great	j	696589	55258	greatest
139	last	m	692989	692989	last
140	child	n	685426	441998	children
140	child	n	685426	242214	child
140	child	n	685426	916	childrens
140	child	n	685426	298	childs
141	oh	u	685234	685234	oh
142	over	i	679617	679617	over
143	ask	v	676596	304831	asked
143	ask	v	676596	247585	ask
143	ask	v	676596	88039	asking
143	ask	v	676596	36141	asks
144	when	r	669530	669530	when
145	as	r	662376	662376	as
146	school	n	660191	526204	school
146	school	n	660191	133987	schools
147	state	n	638012	514086	state
147	state	n	638012	123926	states
148	much	d	636642	636642	much
149	talk	v	635614	290634	talk
149	talk	v	635614	243433	talking
149	talk	v	635614	83814	talked
149	talk	v	635614	12725	talks
149	talk	v	635614	5008	talkin
150	out	i	634959	634959	out
151	keep	v	626487	399487	keep
151	keep	v	626487	117830	kept
151	keep	v	626487	63438	keeping
151	keep	v	626487	45732	keeps
152	leave	v	622651	290116	left
152	leave	v	622651	209155	leave
152	leave	v	622651	88694	leaving
152	leave	v	622651	34652	leaves
152	leave	v	622651	34	leaved
153	put	v	616952	499855	put
153	put	v	616952	76441	putting
153	put	v	616952	40500	puts
153	put	v	616952	156	putted
154	like	v	614691	516981	like
154	like	v	614691	59976	liked
154	like	v	614691	33961	likes
154	like	v	614691	3773	liking
155	help	v	606887	412389	help
155	help	v	606887	93520	helped
155	help	v	606887	56645	helping
155	help	v	606887	44333	helps
156	big	j	600364	470295	big
156	big	j	600364	74504	biggest
156	big	j	600364	55565	bigger
157	where	r	597351	597351	where
158	same	d	592441	592440	same
159	all	r	591610	591610	all
160	own	d	579172	579171	own
161	while	c	579023	579023	while
162	start	v	578246	234383	started
162	start	v	578246	212064	start
162	start	v	578246	75161	starting
162	start	v	578246	56638	starts
163	three	m	570885	569831	three
163	three	m	570885	1054	threes
164	high	j	567720	382871	high
164	high	j	567720	139409	higher
164	high	j	567720	45440	highest
165	every	a	567233	567232	every
166	another	d	565094	565094	another
167	become	v	561963	276455	become
167	become	v	561963	158624	became
167	become	v	561963	67172	becomes
167	become	v	561963	59709	becoming
168	most	r	561354	561354	most
169	between	i	558517	558517	between
170	happen	v	552797	227662	happened
170	happen	v	552797	165832	happen
170	happen	v	552797	97340	happens
170	happen	v	552797	61611	happening
170	happen	v	552797	324	happend
170	happen	v	552797	22	hap-pen
170	happen	v	552797	6	happended
171	family	n	544520	439984	family
171	family	n	544520	104355	families
171	family	n	544520	181	familys
172	over	r	538724	538724	over
173	president	n	538319	519368	president
173	president	n	538319	18951	presidents
174	old	j	537424	424754	old
174	old	j	537424	94843	older
174	old	j	537424	17827	oldest
175	yes	u	537066	537066	yes
176	house	n	537037	493925	house
176	house	n	537037	43112	houses
177	show	v	536889	219076	show
177	show	v	536889	94154	showed
177	show	v	536889	92709	shows
177	show	v	536889	73808	shown
177	show	v	536889	57142	showing
178	again	r	530706	530706	again
179	student	n	530196	383212	students
179	student	n	530196	146984	student
180	so	c	523232	523231	so
181	seem	v	522940	214633	seems
181	seem	v	522940	161006	seem
181	seem	v	522940	144601	seemed
181	seem	v	522940	2700	seeming
182	might	v	521992	521992	might
183	part	n	517693	432718	part
183	part	n	517693	84908	parts
183	part	n	517693	67	parti
184	hear	v	516483	236297	hear
184	hear	v	516483	230010	heard
184	hear	v	516483	39965	hearing
184	hear	v	516483	10162	hears
184	hear	v	516483	49	heared
185	its	a	511922	511922	its
186	place	n	508803	420367	place
186	place	n	508803	88436	places
187	problem	n	504175	313786	problem
187	problem	n	504175	190388	problems
188	where	c	500755	500755	where
189	believe	v	500511	374664	believe
189	believe	v	500511	63891	believed
189	believe	v	500511	46037	believes
189	believe	v	500511	14947	believing
189	believe	v	500511	506	beleive
189	believe	v	500511	423	belive
189	believe	v	500511	25	beleives
189	believe	v	500511	18	beleived
190	country	n	499369	377285	country
190	country	n	499369	121774	countries
190	country	n	499369	310	countrys
191	always	r	492943	492940	always
192	week	n	484834	326468	week
192	week	n	484834	158366	weeks
193	point	n	484094	376038	point
193	point	n	484094	108056	points
194	hand	n	481332	293252	hand
194	hand	n	481332	188080	hands
195	off	r	479459	479457	off
196	play	v	478740	200898	play
196	play	v	478740	126839	playing
196	play	v	478740	113113	played
196	play	v	478740	37890	plays
197	turn	v	477668	197898	turned
197	turn	v	477668	156614	turn
197	turn	v	477668	70251	turns
197	turn	v	477668	52905	turning
198	few	d	472804	472804	few
199	group	n	470971	318338	group
199	group	n	470971	152631	groups
200	such	d	468655	468655	such
201	against	i	467705	467705	against
202	run	v	465066	200749	run
202	run	v	465066	126232	running
202	run	v	465066	88953	ran
202	run	v	465066	48933	runs
202	run	v	465066	167	runneth
202	run	v	465066	32	runing
203	guy	n	464082	251329	guy
203	guy	n	464082	212753	guys
204	about	r	462995	462995	about
205	case	n	458383	332608	case
205	case	n	458383	125761	cases
205	case	n	458383	14	casei
206	question	n	457301	280915	question
206	question	n	457301	176346	questions
206	question	n	457301	40	ques-tion
207	work	n	456169	456169	work
208	night	n	452094	422103	night
208	night	n	452094	29991	nights
209	live	v	450380	225055	live
209	live	v	450380	96940	living
209	live	v	450380	88904	lived
209	live	v	450380	39481	lives
210	game	n	445149	309629	game
210	game	n	445149	135520	games
211	number	n	444412	341148	number
211	number	n	444412	103264	numbers
212	write	v	439865	128179	wrote
212	write	v	439865	115267	write
212	write	v	439865	90234	written
212	write	v	439865	71268	writing
212	write	v	439865	34379	writes
212	write	v	439865	538	writ
213	bring	v	439445	197457	bring
213	bring	v	439445	151748	brought
213	bring	v	439445	48526	bringing
213	bring	v	439445	41497	brings
213	bring	v	439445	217	brung
214	without	i	438567	438567	without
215	money	n	437583	436987	money
215	money	n	437583	576	moneys
215	money	n	437583	20	m-o-n-e-y
216	lot	n	437545	436374	lot
216	lot	n	437545	1171	lots
217	most	d	435849	435849	most
218	book	n	435387	301135	book
218	book	n	435387	134252	books
219	system	n	435303	334678	system
219	system	n	435303	100590	systems
219	system	n	435303	35	sys-tem
220	government	n	434971	396071	government
220	government	n	434971	36356	governments
220	government	n	434971	2527	govt
220	government	n	434971	17	govern-ment
221	next	m	433864	433864	next
222	city	n	433843	374113	city
222	city	n	433843	59531	cities
222	city	n	433843	199	citys
223	company	n	432469	285396	company
223	company	n	432469	146834	companies
223	company	n	432469	221	companys
223	company	n	432469	18	com-pany
224	story	n	432184	319427	story
224	story	n	432184	112748	stories
224	story	n	432184	9	storys
225	today	r	431562	430978	today
225	today	r	431562	584	to-day
226	job	n	430995	312739	job
226	job	n	430995	118256	jobs
227	move	v	430324	177058	move
227	move	v	430324	119916	moved
227	move	v	430324	105732	moving
227	move	v	430324	27618	moves
228	must	v	427796	427796	must
229	bad	j	426558	284576	bad
229	bad	j	426558	79431	worse
229	bad	j	426558	61940	worst
229	bad	j	426558	453	baddest
229	bad	j	426558	158	badder
230	friend	n	423755	232077	friends
230	friend	n	423755	191678	friend
231	during	i	423624	423624	during
232	begin	v	421878	183819	began
232	begin	v	421878	112391	begin
232	begin	v	421878	49838	begins
232	begin	v	421878	43471	beginning
232	begin	v	421878	32256	begun
232	begin	v	421878	103	begining
233	love	v	417532	291899	love
233	love	v	417532	80254	loved
233	love	v	417532	35268	loves
233	love	v	417532	10111	loving
234	each	d	414659	414659	each
235	hold	v	413837	153835	hold
235	hold	v	413837	146205	held
235	hold	v	413837	74285	holding
235	hold	v	413837	39512	holds
236	different	j	413578	413560	different
236	different	j	413578	18	dif-ferent
237	American	j	410698	410698	american
238	little	j	404660	403861	little
238	little	j	404660	611	littlest
238	little	j	404660	188	littler
239	before	i	402959	402959	before
240	ever	r	402590	402590	ever
241	word	n	402216	212038	words
241	word	n	402216	190178	word
242	fact	n	399574	345343	fact
242	fact	n	399574	54231	facts
243	right	n	389906	237110	right
243	right	n	389906	152796	rights
244	read	v	386137	277492	read
244	read	v	386137	90693	reading
244	read	v	386137	17952	reads
245	anything	p	384508	384431	anything
245	anything	p	384508	76	any-thing
246	nothing	p	383744	383492	nothing
246	nothing	p	383744	252	nuthin
247	sure	j	383701	382742	sure
247	sure	j	383701	703	surest
247	sure	j	383701	256	surer
248	small	j	382563	316939	small
248	small	j	382563	57368	smaller
248	small	j	382563	8256	smallest
249	month	n	381833	232315	months
249	month	n	381833	149518	month
250	program	n	375708	238992	program
250	program	n	375708	129328	programs
250	program	n	375708	5210	programme
250	program	n	375708	2123	programmes
250	program	n	375708	53	pro-gram
251	maybe	r	374325	374325	maybe
252	right	j	373934	373875	right
252	right	j	373934	45	righter
252	right	j	373934	14	rightest
253	under	i	373903	373903	under
254	business	n	373744	323875	business
254	business	n	373744	49781	businesses
254	business	n	373744	46	busi-ness
254	business	n	373744	42	businesss
255	home	n	370758	308494	home
255	home	n	370758	62262	homes
256	kind	n	367584	315812	kind
256	kind	n	367584	51772	kinds
257	stop	v	366567	238017	stop
257	stop	v	366567	87070	stopped
257	stop	v	366567	22865	stops
257	stop	v	366567	18615	stopping
258	pay	v	365255	192521	pay
258	pay	v	365255	96873	paid
258	pay	v	365255	57762	paying
258	pay	v	365255	17758	pays
258	pay	v	365255	341	payed
259	study	n	364915	231371	study
259	study	n	364915	133544	studies
260	since	c	363805	363805	since
261	issue	n	362137	189225	issue
261	issue	n	362137	172912	issues
262	name	n	361916	294687	name
262	name	n	361916	67229	names
263	idea	n	358006	264704	idea
263	idea	n	358006	93302	ideas
264	room	n	357682	322540	room
264	room	n	357682	35142	rooms
265	percent	n	357515	357395	percent
265	percent	n	357515	91	percents
265	percent	n	357515	29	per-cent
266	far	r	357192	258381	far
266	far	r	357192	84817	further
266	far	r	357192	13099	farther
266	far	r	357192	550	farthest
266	far	r	357192	345	furthest
267	away	r	355515	355515	away
268	law	n	354958	276417	law
268	law	n	354958	78541	laws
269	actually	r	353857	353857	actually
270	large	j	353703	218116	large
270	large	j	353703	74657	larger
270	large	j	353703	60930	largest
271	though	c	352608	352608	though
272	provide	v	351941	160610	provide
272	provide	v	351941	77215	provided
272	provide	v	351941	65301	provides
272	provide	v	351941	48815	providing
273	lose	v	351650	188655	lost
273	lose	v	351650	98897	lose
273	lose	v	351650	52271	losing
273	lose	v	351650	11827	loses
274	power	n	351483	316185	power
274	power	n	351483	35298	powers
275	kid	n	351451	244401	kids
275	kid	n	351451	107050	kid
276	war	n	350575	316055	war
276	war	n	350575	34399	wars
276	war	n	350575	121	warred
277	understand	v	349141	260832	understand
277	understand	v	349141	48143	understood
277	understand	v	349141	25030	understanding
277	understand	v	349141	15071	understands
277	understand	v	349141	59	under-stand
277	understand	v	349141	6	under-standing
278	head	n	348664	305041	head
278	head	n	348664	43616	heads
278	head	n	348664	7	heading
279	mother	n	348470	317758	mother
279	mother	n	348470	30697	mothers
279	mother	n	348470	15	moth-er
280	real	j	348239	348112	real
280	real	j	348239	72	realer
280	real	j	348239	55	realest
281	best	j	348202	347992	best
281	best	j	348202	210	bestest
282	team	n	348063	279385	team
282	team	n	348063	68678	teams
283	eye	n	347153	250976	eyes
283	eye	n	347153	96177	eye
284	long	r	345462	219956	long
284	long	r	345462	123823	longer
284	long	r	345462	1683	longest
285	long	j	345005	304483	long
285	long	j	345005	31804	longer
285	long	j	345005	8718	longest
286	side	n	342841	283887	side
286	side	n	342841	58954	sides
287	water	n	342574	322723	water
287	water	n	342574	19851	waters
288	young	j	341002	273963	young
288	young	j	341002	55200	younger
288	young	j	341002	11839	youngest
289	wait	v	339926	202393	wait
289	wait	v	339926	98445	waiting
289	wait	v	339926	32430	waited
289	wait	v	339926	6658	waits
290	okay	r	339699	339646	okay
290	okay	r	339699	53	o-kay
291	both	d	338454	338454	both
292	yet	r	338408	338408	yet
293	after	c	334050	334050	after
294	meet	v	333954	154553	meet
294	meet	v	333954	125147	met
294	meet	v	333954	37988	meeting
294	meet	v	333954	16266	meets
295	service	n	332313	189557	service
295	service	n	332313	142756	services
296	area	n	331866	212812	area
296	area	n	331866	119054	areas
297	important	j	331646	331610	important
297	important	j	331646	36	impor-tant
298	person	n	330987	297155	person
298	person	n	330987	33787	persons
298	person	n	330987	45	per-son
299	hey	u	330236	330236	hey
300	thank	v	330129	320733	thank
300	thank	v	330129	5271	thanked
300	thank	v	330129	2805	thanking
300	thank	v	330129	1320	thanks
301	much	r	329230	329230	much
302	someone	p	328998	328933	someone
302	someone	p	328998	65	some-one
303	end	n	328699	305011	end
303	end	n	328699	23688	ends
304	change	v	327637	165752	change
304	change	v	327637	110107	changed
304	change	v	327637	38154	changing
304	change	v	327637	13624	changes
305	however	r	326015	326015	however
306	only	j	325917	325875	only
306	only	j	325917	42	onliest
307	around	r	324064	324064	around
308	hour	n	323999	205126	hours
308	hour	n	323999	118873	hour
309	everything	p	323760	323679	everything
309	everything	p	323760	81	every-thing
310	national	j	321960	321960	national
311	four	m	319834	318242	four
311	four	m	319834	1592	fours
312	line	n	319492	232649	line
312	line	n	319492	86843	lines
313	girl	n	319120	198521	girl
313	girl	n	319120	120599	girls
314	around	i	318942	318942	around
315	watch	v	318772	135170	watch
315	watch	v	318772	106853	watching
315	watch	v	318772	65729	watched
315	watch	v	318772	11020	watches
316	until	c	318392	318392	until
317	father	n	318173	298634	father
317	father	n	318173	19522	fathers
317	father	n	318173	13	fa-ther
318	sit	v	315022	107677	sit
318	sit	v	315022	89691	sitting
318	sit	v	315022	89451	sat
318	sit	v	315022	27948	sits
318	sit	v	315022	255	siting
319	create	v	314631	128135	create
319	create	v	314631	105662	created
319	create	v	314631	58051	creating
319	create	v	314631	22783	creates
320	information	n	314341	314179	information
320	information	n	314341	140	informations
320	information	n	314341	22	in-formation
321	car	n	313437	244367	car
321	car	n	313437	69070	cars
322	learn	v	312649	142963	learn
322	learn	v	312649	103201	learned
322	learn	v	312649	58901	learning
322	learn	v	312649	5869	learns
322	learn	v	312649	1715	learnt
323	least	r	311569	311569	least
324	already	r	311502	311502	already
325	kill	v	307305	128811	killed
325	kill	v	307305	128182	kill
325	kill	v	307305	38550	killing
325	kill	v	307305	11762	kills
326	minute	n	306541	214678	minutes
326	minute	n	306541	91856	minute
326	minute	n	306541	6	minuted
327	party	n	304325	242877	party
327	party	n	304325	61448	parties
328	include	v	304197	126985	include
328	include	v	304197	91680	included
328	include	v	304197	69205	includes
328	include	v	304197	16327	including
329	stand	v	303462	109655	stand
329	stand	v	303462	83842	stood
329	stand	v	303462	71447	standing
329	stand	v	303462	38518	stands
330	together	r	302942	302942	together
331	back	n	302390	290437	back
331	back	n	302390	11953	backs
332	follow	v	300266	105100	follow
332	follow	v	300266	87774	followed
332	follow	v	300266	75047	following
332	follow	v	300266	32345	follows
333	health	n	300262	300245	health
333	health	n	300262	17	healths
334	remember	v	298221	239542	remember
334	remember	v	298221	32527	remembered
334	remember	v	298221	15284	remembers
334	remember	v	298221	10791	remembering
334	remember	v	298221	42	re-member
334	remember	v	298221	35	remem-ber
335	often	r	295709	295709	often
336	reason	n	295577	207182	reason
336	reason	n	295577	88395	reasons
337	speak	v	295523	115795	speak
337	speak	v	295523	66734	spoke
337	speak	v	295523	62470	speaking
337	speak	v	295523	26197	speaks
337	speak	v	295523	23909	spoken
337	speak	v	295523	418	spake
338	ago	r	294921	294921	ago
339	set	v	293144	238088	set
339	set	v	293144	34265	setting
339	set	v	293144	20791	sets
340	black	j	293101	292399	black
340	black	j	293101	372	blacker
340	black	j	293101	330	blackest
341	member	n	292596	191123	members
341	member	n	292596	101473	member
342	community	n	290489	233540	community
342	community	n	290489	56949	communities
343	once	r	290446	290446	once
344	social	j	290372	290372	social
345	news	n	289175	289175	news
346	allow	v	288559	103001	allow
346	allow	v	288559	97541	allowed
346	allow	v	288559	49908	allows
346	allow	v	288559	38109	allowing
347	win	v	288308	120577	win
347	win	v	288308	111441	won
347	win	v	288308	39182	winning
347	win	v	288308	17108	wins
348	body	n	287817	239952	body
348	body	n	287817	47865	bodies
349	lead	v	285740	112363	led
349	lead	v	285740	88324	lead
349	lead	v	285740	45581	leading
349	lead	v	285740	39472	leads
350	continue	v	282352	139943	continue
350	continue	v	282352	62935	continues
350	continue	v	282352	61732	continued
350	continue	v	282352	17742	continuing
351	whether	c	280973	280973	whether
352	enough	r	280789	280789	enough
353	spend	v	280371	126462	spent
353	spend	v	280371	98601	spend
353	spend	v	280371	42803	spending
353	spend	v	280371	12505	spends
354	level	n	279770	179229	level
354	level	n	279770	100541	levels
355	able	j	279559	279559	able
356	political	j	279410	279410	political
357	almost	r	279393	279393	almost
358	boy	n	279283	174960	boy
358	boy	n	279283	103479	boys
358	boy	n	279283	844	boyz
359	University	n	279132	256092	university
359	University	n	279132	23040	universities
360	before	c	276286	276286	before
361	stay	v	275504	192705	stay
361	stay	v	275504	39808	stayed
361	stay	v	275504	30623	staying
361	stay	v	275504	12368	stays
362	add	v	275233	116975	add
362	add	v	275233	84161	added
362	add	v	275233	40691	adding
362	add	v	275233	33406	adds
363	later	r	274178	274178	later
364	change	n	274132	161045	change
364	change	n	274132	113085	changes
365	five	m	270274	269427	five
365	five	m	270274	847	fives
366	probably	r	269732	269732	probably
367	center	n	268821	223995	center
367	center	n	268821	32519	centers
367	center	n	268821	10949	centre
367	center	n	268821	1358	centres
368	among	i	267798	267798	among
369	face	n	266458	233958	face
369	face	n	266458	32500	faces
370	public	j	265061	265061	public
371	die	v	264537	122342	died
371	die	v	264537	103062	die
371	die	v	264537	25370	dying
371	die	v	264537	13763	dies
372	food	n	262697	230138	food
372	food	n	262697	32559	foods
373	else	r	261804	261804	else
374	history	n	261045	253399	history
374	history	n	261045	7646	histories
375	buy	v	260201	143700	buy
375	buy	v	260201	69753	bought
375	buy	v	260201	40068	buying
375	buy	v	260201	6676	buys
376	result	n	259961	148716	results
376	result	n	259961	111245	result
377	morning	n	259129	252813	morning
377	morning	n	259129	6277	mornings
377	morning	n	259129	39	morn-ing
378	off	i	258852	258851	off
379	parent	n	258181	214379	parents
379	parent	n	258181	43802	parent
380	office	n	258157	233912	office
380	office	n	258157	24184	offices
380	office	n	258157	61	off-ice
381	course	r	257245	257245	course
382	send	v	256309	114259	sent
382	send	v	256309	95100	send
382	send	v	256309	33935	sending
382	send	v	256309	13003	sends
382	send	v	256309	12	sended
383	research	n	255123	254594	research
383	research	n	255123	529	researches
384	walk	v	253671	92188	walk
384	walk	v	253671	81082	walked
